lambda111,lambda112,lambda123,euclidean
0.00000,0.00000,1.00000,0.05181856
0.00000,0.04000,0.96000,0.04157752
0.00000,0.08000,0.92000,0.03153473
0.00000,0.12000,0.88000,0.02196384
0.00000,0.16000,0.84000,0.01291564
0.00000,0.20000,0.80000,0.00527103
0.00000,0.24000,0.76000,0.00231735
0.00000,0.28000,0.72000,0.00088391
0.00000,0.32000,0.68000,0.00082764
0.00000,0.36000,0.64000,0.00083380
0.00000,0.40000,0.60000,0.00076929
0.00000,0.44000,0.56000,0.00060186
0.00000,0.48000,0.52000,0.00076886
0.00000,0.52000,0.48000,0.00076929
0.00000,0.56000,0.44000,0.00080437
0.00000,0.60000,0.40000,0.00106755
0.00000,0.64000,0.36000,0.00109737
0.00000,0.68000,0.32000,0.00141561
0.00000,0.72000,0.28000,0.00137470
0.00000,0.76000,0.24000,0.00127975
0.00000,0.80000,0.20000,0.00233030
0.00000,0.84000,0.16000,0.00315639
0.00000,0.88000,0.12000,0.00807692
0.00000,0.92000,0.08000,0.01332702
0.00000,0.96000,0.04000,0.01804130
0.00000,1.00000,0.00000,0.02389462
0.04000,0.00000,0.96000,0.05010834
0.04000,0.04000,0.92000,0.04108170
0.04000,0.08000,0.88000,0.03296647
0.04000,0.12000,0.84000,0.02448412
0.04000,0.16000,0.80000,0.01632180
0.04000,0.20000,0.76000,0.00675849
0.04000,0.24000,0.72000,0.00240608
0.04000,0.28000,0.68000,0.00129819
0.04000,0.32000,0.64000,0.00117307
0.04000,0.36000,0.60000,0.00096713
0.04000,0.40000,0.56000,0.00075638
0.04000,0.44000,0.52000,0.00069322
0.04000,0.48000,0.48000,0.00060093
0.04000,0.52000,0.44000,0.00047330
0.04000,0.56000,0.40000,0.00059376
0.04000,0.60000,0.36000,0.00059098
0.04000,0.64000,0.32000,0.00066182
0.04000,0.68000,0.28000,0.00065653
0.04000,0.72000,0.24000,0.00078983
0.04000,0.76000,0.20000,0.00079851
0.04000,0.80000,0.16000,0.00106510
0.04000,0.84000,0.12000,0.00146201
0.04000,0.88000,0.08000,0.00250099
0.04000,0.92000,0.04000,0.00656962
0.04000,0.96000,0.00000,0.01590451
0.08000,0.00000,0.92000,0.05050743
0.08000,0.04000,0.88000,0.04177136
0.08000,0.08000,0.84000,0.03325963
0.08000,0.12000,0.80000,0.02336071
0.08000,0.16000,0.76000,0.01440363
0.08000,0.20000,0.72000,0.00586857
0.08000,0.24000,0.68000,0.00193212
0.08000,0.28000,0.64000,0.00148301
0.08000,0.32000,0.60000,0.00102388
0.08000,0.36000,0.56000,0.00093626
0.08000,0.40000,0.52000,0.00076733
0.08000,0.44000,0.48000,0.00068816
0.08000,0.48000,0.44000,0.00061705
0.08000,0.52000,0.40000,0.00066248
0.08000,0.56000,0.36000,0.00092059
0.08000,0.60000,0.32000,0.00063821
0.08000,0.64000,0.28000,0.00055818
0.08000,0.68000,0.24000,0.00069995
0.08000,0.72000,0.20000,0.00085809
0.08000,0.76000,0.16000,0.00092871
0.08000,0.80000,0.12000,0.00105425
0.08000,0.84000,0.08000,0.00161802
0.08000,0.88000,0.04000,0.00295750
0.08000,0.92000,0.00000,0.01283324
0.12000,0.00000,0.88000,0.04215390
0.12000,0.04000,0.84000,0.03431495
0.12000,0.08000,0.80000,0.02701456
0.12000,0.12000,0.76000,0.01856127
0.12000,0.16000,0.72000,0.01267225
0.12000,0.20000,0.68000,0.00676466
0.12000,0.24000,0.64000,0.00332869
0.12000,0.28000,0.60000,0.00155263
0.12000,0.32000,0.56000,0.00134688
0.12000,0.36000,0.52000,0.00120063
0.12000,0.40000,0.48000,0.00069933
0.12000,0.44000,0.44000,0.00063567
0.12000,0.48000,0.40000,0.00067001
0.12000,0.52000,0.36000,0.00056367
0.12000,0.56000,0.32000,0.00045708
0.12000,0.60000,0.28000,0.00042998
