s111,s112,s123,euclidean
0.00000,0.00000,1.00000,0.01232477
0.00000,0.04000,0.96000,0.00813868
0.00000,0.08000,0.92000,0.00382843
0.00000,0.12000,0.88000,0.00250330
0.00000,0.16000,0.84000,0.00144001
0.00000,0.20000,0.80000,0.00130219
0.00000,0.24000,0.76000,0.00155740
0.00000,0.28000,0.72000,0.00184981
0.00000,0.32000,0.68000,0.00332280
0.00000,0.36000,0.64000,0.00446833
0.00000,0.40000,0.60000,0.00514188
0.00000,0.44000,0.56000,0.00490027
0.00000,0.48000,0.52000,0.00540187
0.00000,0.52000,0.48000,0.00443480
0.00000,0.56000,0.44000,0.00444156
0.00000,0.60000,0.40000,0.00455283
0.00000,0.64000,0.36000,0.00521344
0.00000,0.68000,0.32000,0.00667681
0.00000,0.72000,0.28000,0.00718488
0.00000,0.76000,0.24000,0.00816325
0.00000,0.80000,0.20000,0.00998812
0.00000,0.84000,0.16000,0.01396813
0.00000,0.88000,0.12000,0.01714455
0.00000,0.92000,0.08000,0.02056013
0.00000,0.96000,0.04000,0.02404768
0.00000,1.00000,0.00000,0.02755569
0.04000,0.00000,0.96000,0.01824837
0.04000,0.04000,0.92000,0.01327724
0.04000,0.08000,0.88000,0.00904373
0.04000,0.12000,0.84000,0.00620581
0.04000,0.16000,0.80000,0.00535125
0.04000,0.20000,0.76000,0.00489310
0.04000,0.24000,0.72000,0.00516202
0.04000,0.28000,0.68000,0.00530275
0.04000,0.32000,0.64000,0.00502794
0.04000,0.36000,0.60000,0.00506911
0.04000,0.40000,0.56000,0.00364907
0.04000,0.44000,0.52000,0.00311047
0.04000,0.48000,0.48000,0.00481542
0.04000,0.52000,0.44000,0.00481084
0.04000,0.56000,0.40000,0.00347275
0.04000,0.60000,0.36000,0.00211451
0.04000,0.64000,0.32000,0.00275458
0.04000,0.68000,0.28000,0.00419235
0.04000,0.72000,0.24000,0.00379439
0.04000,0.76000,0.20000,0.00374204
0.04000,0.80000,0.16000,0.00551070
0.04000,0.84000,0.12000,0.00627213
0.04000,0.88000,0.08000,0.00865072
0.04000,0.92000,0.04000,0.01286415
0.04000,0.96000,0.00000,0.01706660
0.08000,0.00000,0.92000,0.01934906
0.08000,0.04000,0.88000,0.01464002
0.08000,0.08000,0.84000,0.01049066
0.08000,0.12000,0.80000,0.00824621
0.08000,0.16000,0.76000,0.00595133
0.08000,0.20000,0.72000,0.00491037
0.08000,0.24000,0.68000,0.00303782
0.08000,0.28000,0.64000,0.00341084
0.08000,0.32000,0.60000,0.00414092
0.08000,0.36000,0.56000,0.00317270
0.08000,0.40000,0.52000,0.00429104
0.08000,0.44000,0.48000,0.00233603
0.08000,0.48000,0.44000,0.00079711
0.08000,0.52000,0.40000,0.00093919
0.08000,0.56000,0.36000,0.00195193
0.08000,0.60000,0.32000,0.00101178
0.08000,0.64000,0.28000,0.00120482
0.08000,0.68000,0.24000,0.00136483
0.08000,0.72000,0.20000,0.00147778
0.08000,0.76000,0.16000,0.00266594
0.08000,0.80000,0.12000,0.00298249
0.08000,0.84000,0.08000,0.00600850
0.08000,0.88000,0.04000,0.00737680
0.08000,0.92000,0.00000,0.01161699
0.12000,0.00000,0.88000,0.01759009
0.12000,0.04000,0.84000,0.01373008
0.12000,0.08000,0.80000,0.01126773
0.12000,0.12000,0.76000,0.00772247
0.12000,0.16000,0.72000,0.00626197
0.12000,0.20000,0.68000,0.00650881
0.12000,0.24000,0.64000,0.00567576
0.12000,0.28000,0.60000,0.00502272
0.12000,0.32000,0.56000,0.00646778
0.12000,0.36000,0.52000,0.00574467
0.12000,0.40000,0.48000,0.00422339
0.12000,0.44000,0.44000,0.00253214
0.12000,0.48000,0.40000,0.00217899
0.12000,0.52000,0.36000,0.00168336
0.12000,0.56000,0.32000,0.00160687
0.12000,0.60000,0.28000,0.00160345
0.12000,0.64000,0.24000,0.00141714
0.12000,0.68000,0.20000,0.00121230
0.12000,0.72000,0.16000,0.00124430
0.12000,0.76000,0.12000,0.00161258
0.12000,0.80000,0.08000,0.00261156
0.12000,0.84000,0.04000,0.00314666
0.12000,0.88000,0.00000,0.00795095
0.16000,0.00000,0.84000,0.01887252
0.16000,0.04000,0.80000,0.01586395
0.16000,0.08000,0.76000,0.01392893
0.16000,0.12000,0.72000,0.01215021
0.16000,0.16000,0.68000,0.01156295
0.16000,0.20000,0.64000,0.01109870
0.16000,0.24000,0.60000,0.00940753
0.16000,0.28000,0.56000,0.00995186
0.16000,0.32000,0.52000,0.00827031
0.16000,0.36000,0.48000,0.00800924
0.16000,0.40000,0.44000,0.00577758
0.16000,0.44000,0.40000,0.00452492
0.16000,0.48000,0.36000,0.00508915
0.16000,0.52000,0.32000,0.00537700
0.16000,0.56000,0.28000,0.00478984
0.16000,0.60000,0.24000,0.00609780
0.16000,0.64000,0.20000,0.00571040
0.16000,0.68000,0.16000,0.00590718
0.16000,0.72000,0.12000,0.00492861
0.16000,0.76000,0.08000,0.00394809
0.16000,0.80000,0.04000,0.00249713
0.16000,0.84000,0.00000,0.00650947
0.20000,0.00000,0.80000,0.02552842
0.20000,0.04000,0.76000,0.02349103
0.20000,0.08000,0.72000,0.02108992
0.20000,0.12000,0.68000,0.01973082
0.20000,0.16000,0.64000,0.01851518
0.20000,0.20000,0.60000,0.01664137
0.20000,0.24000,0.56000,0.01455455
0.20000,0.28000,0.52000,0.01228857
0.20000,0.32000,0.48000,0.00915365
0.20000,0.36000,0.44000,0.00779595
0.20000,0.40000,0.40000,0.00930693
0.20000,0.44000,0.36000,0.01058680
0.20000,0.48000,0.32000,0.01133588
0.20000,0.52000,0.28000,0.01194235
0.20000,0.56000,0.24000,0.01194227
0.20000,0.60000,0.20000,0.01330510
0.20000,0.64000,0.16000,0.01469224
0.20000,0.68000,0.12000,0.01483543
0.20000,0.72000,0.08000,0.01463994
0.20000,0.76000,0.04000,0.01421750
0.20000,0.80000,0.00000,0.01578008
0.24000,0.00000,0.76000,0.03371451
0.24000,0.04000,0.72000,0.03173575
0.24000,0.08000,0.68000,0.02988525
0.24000,0.12000,0.64000,0.02824913
0.24000,0.16000,0.60000,0.02658101
0.24000,0.20000,0.56000,0.02386152
0.24000,0.24000,0.52000,0.02062546
0.24000,0.28000,0.48000,0.01853832
0.24000,0.32000,0.44000,0.01800420
0.24000,0.36000,0.40000,0.01755955
0.24000,0.40000,0.36000,0.01876451
0.24000,0.44000,0.32000,0.02058776
0.24000,0.48000,0.28000,0.02218296
0.24000,0.52000,0.24000,0.02393641
0.24000,0.56000,0.20000,0.02505091
0.24000,0.60000,0.16000,0.02663497
0.24000,0.64000,0.12000,0.02862550
0.24000,0.68000,0.08000,0.02945387
0.24000,0.72000,0.04000,0.03020145
0.24000,0.76000,0.00000,0.03044016
0.28000,0.00000,0.72000,0.04268020
0.28000,0.04000,0.68000,0.04093427
0.28000,0.08000,0.64000,0.03844002
0.28000,0.12000,0.60000,0.03663165
0.28000,0.16000,0.56000,0.03447400
0.28000,0.20000,0.52000,0.03194259
0.28000,0.24000,0.48000,0.03020832
0.28000,0.28000,0.44000,0.02944450
0.28000,0.32000,0.40000,0.02942418
0.28000,0.36000,0.36000,0.02988669
0.28000,0.40000,0.32000,0.03131646
0.28000,0.44000,0.28000,0.03360271
0.28000,0.48000,0.24000,0.03603997
0.28000,0.52000,0.20000,0.03826808
0.28000,0.56000,0.16000,0.03886855
0.28000,0.60000,0.12000,0.04024059
0.28000,0.64000,0.08000,0.04230919
0.28000,0.68000,0.04000,0.04464731
0.28000,0.72000,0.00000,0.04567118
0.32000,0.00000,0.68000,0.05078067
0.32000,0.04000,0.64000,0.04938341
0.32000,0.08000,0.60000,0.04761731
0.32000,0.12000,0.56000,0.04645770
0.32000,0.16000,0.52000,0.04470664
0.32000,0.20000,0.48000,0.04287334
0.32000,0.24000,0.44000,0.04171074
0.32000,0.28000,0.40000,0.04127553
0.32000,0.32000,0.36000,0.04159058
0.32000,0.36000,0.32000,0.04263924
0.32000,0.40000,0.28000,0.04436954
0.32000,0.44000,0.24000,0.04670577
0.32000,0.48000,0.20000,0.04917034
0.32000,0.52000,0.16000,0.05176384
0.32000,0.56000,0.12000,0.05435053
0.32000,0.60000,0.08000,0.05558046
0.32000,0.64000,0.04000,0.05732903
0.32000,0.68000,-0.00000,0.05955056
0.36000,0.00000,0.64000,0.06059061
0.36000,0.04000,0.60000,0.05968602
0.36000,0.08000,0.56000,0.05929454
0.36000,0.12000,0.52000,0.05867974
0.36000,0.16000,0.48000,0.05733304
0.36000,0.20000,0.44000,0.05615322
0.36000,0.24000,0.40000,0.05551137
0.36000,0.28000,0.36000,0.05542620
0.36000,0.32000,0.32000,0.05590024
0.36000,0.36000,0.28000,0.05691952
0.36000,0.40000,0.24000,0.05845554
0.36000,0.44000,0.20000,0.06046891
0.36000,0.48000,0.16000,0.06291384
0.36000,0.52000,0.12000,0.06574219
0.36000,0.56000,0.08000,0.06852481
0.36000,0.60000,0.04000,0.07147400
0.36000,0.64000,0.00000,0.07309697
0.40000,0.00000,0.60000,0.07296415
0.40000,0.04000,0.56000,0.07239912
0.40000,0.08000,0.52000,0.07226148
0.40000,0.12000,0.48000,0.07227790
0.40000,0.16000,0.44000,0.07161183
0.40000,0.20000,0.40000,0.07091011
0.40000,0.24000,0.36000,0.07059207
0.40000,0.28000,0.32000,0.07071391
0.40000,0.32000,0.28000,0.07127340
0.40000,0.36000,0.24000,0.07226036
0.40000,0.40000,0.20000,0.07365761
0.40000,0.44000,0.16000,0.07544236
0.40000,0.48000,0.12000,0.07758788
0.40000,0.52000,0.08000,0.07997604
0.40000,0.56000,0.04000,0.08264122
0.40000,0.60000,0.00000,0.08558737
0.44000,0.00000,0.56000,0.08681194
0.44000,0.04000,0.52000,0.08649188
0.44000,0.08000,0.48000,0.08595966
0.44000,0.12000,0.44000,0.08563438
0.44000,0.16000,0.40000,0.08567178
0.44000,0.20000,0.36000,0.08556663
0.44000,0.24000,0.32000,0.08560343
0.44000,0.28000,0.28000,0.08600273
0.44000,0.32000,0.24000,0.08675951
0.44000,0.36000,0.20000,0.08774171
0.44000,0.40000,0.16000,0.08893699
0.44000,0.44000,0.12000,0.09046100
0.44000,0.48000,0.08000,0.09229745
0.44000,0.52000,0.04000,0.09442810
0.44000,0.56000,0.00000,0.09683355
0.48000,0.00000,0.52000,0.10123653
0.48000,0.04000,0.48000,0.10047507
0.48000,0.08000,0.44000,0.10001934
